Index,id,name,summary,space,description,neighborhood_overview,transit,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,_61,_62,Breakfast,Essentials,_65,_66,Gym,_68,Internet,Kitchen,_71,_72,Pool,_74,_75,_76,_77,TV,_79
2514,6214517,Chic 1 Bed with Fantastic Lake View,Sparkling new unit.  800 sq ft w/open Living/Dining/Kitchen area;  Walk to Husky Stadium!   Bedroom with shutters that open to the view;   Huge bathroom and closet;  In-unit Laundry; 150 sq ft deck w/view.  Centrally located!,"The apartment is a very private space, located on the lower floor and the back side of a small 6 unit apartment building. Guests will be wowed by the 8 x 20 foot deck with glass railings, and the fantastic views of Portage Bay and the University of Washington. Inside, the unit is furnished in a clean, modern style with everything you need for a comfortable stay. • Bedroom has California King bed and shutters that open to a view out the living room windows • Huge bathroom,  dedicated laundry area • Living room sofa folds out flat into a twin + sized bed for a second sleeping option  • Beautiful  kitchen with plenty of cabinet space, quartz countertops, and new stainless appliances: side-by-side fridge, electric range, range-top microwave, and dishwasher • 150 square foot private deck with glass railing and wonderful lake views.","Sparkling new unit.  800 sq ft w/open Living/Dining/Kitchen area;  Walk to Husky Stadium!   Bedroom with shutters that open to the view;   Huge bathroom and closet;  In-unit Laundry; 150 sq ft deck w/view.  Centrally located! The apartment is a very private space, located on the lower floor and the back side of a small 6 unit apartment building. Guests will be wowed by the 8 x 20 foot deck with glass railings, and the fantastic views of Portage Bay and the University of Washington. Inside, the unit is furnished in a clean, modern style with everything you need for a comfortable stay. • Bedroom has California King bed and shutters that open to a view out the living room windows • Huge bathroom,  dedicated laundry area • Living room sofa folds out flat into a twin + sized bed for a second sleeping option  • Beautiful  kitchen with plenty of cabinet space, quartz countertops, and new stainless appliances: side-by-side fridge, electric range, range-top microwave, and dishwasher • 150 squar","Eastlake is a great, close-in Seattle neighborhood that is right on Lake Union. There are many high quality restaurants nearby in both Eastlake and the University District. If you are looking for fun and funky shopping or nightlife, it's only a short trip up to Capitol Hill. The apartment is also close to the Arboretum, or walk down the hill to take in the waterfront, houseboats, and the classic ambiance of Seattle","• Half a block to transit - with 7 different bus lines available. A 20 minute bus ride to Downtown Seattle.  • Easy access by car to I-5 North and South, and the 520 Bridge.  • 15 minute walk to the University of Washington, Arboretum, or Eastlake shops and restaurants",9555983,21/10/2013,within an hour,80%,100%,f,Portage Bay,2.0,2.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,"Fuhrman Avenue East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||Safety Card|||Essentials|||Shampoo|||Hangers|||Hair Dryer|||Iron|||Laptop Friendly Workspace,120.0,80.0,1,0.0,2,1125,2 days ago,t,30,60,80,170,22,16/6/2015,7/12/2015,95.0,9.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,2,3.25,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,True,True
2515,8036620,Elegant home in N. Capitol Hill,"A 4500 square foot elegant home that is the perfect blend of old and new.  Centrally located in a quiet and highly desirable neighborhood, this family friendly home is just minutes from both UW and downtown.  There are plenty of restaurant options within walking distance as well as transportation options nearby.  This house is better suited for families and mature groups.","Enter the front door, into a grand formal entry with sweeping staircase leading to the second floor.  Off to the right is a large dining room that seats 8 comfortably.  Off to the left, the living room has multiple couches and seating options for reading, curling up by the gas fire, or enjoying the large screen TV (cable included).   Off the living room is an additional sun room with northern views of the University, with an L shaped couch which offers another intimate gathering space.  An updated kitchen with top of the line appliances (gas stove/oven), an eating bar, and additional eating area with territorial views make this the center of our home when we gather with family and friends. The first floor offers so many quiet places to have long conversations or just read a book and relax. On the second floor, a modern master bathroom with spa tub compliment a spacious master bedroom with queen bed.  Two additional, over-sized and light filled bedrooms are located on the other side of ","A 4500 square foot elegant home that is the perfect blend of old and new.  Centrally located in a quiet and highly desirable neighborhood, this family friendly home is just minutes from both UW and downtown.  There are plenty of restaurant options within walking distance as well as transportation options nearby.  This house is better suited for families and mature groups. Enter the front door, into a grand formal entry with sweeping staircase leading to the second floor.  Off to the right is a large dining room that seats 8 comfortably.  Off to the left, the living room has multiple couches and seating options for reading, curling up by the gas fire, or enjoying the large screen TV (cable included).   Off the living room is an additional sun room with northern views of the University, with an L shaped couch which offers another intimate gathering space.  An updated kitchen with top of the line appliances (gas stove/oven), an eating bar, and additional eating area with territorial views","Located in the Roanoke Park neighborhood of North Capitol Hill, this house is in a quiet, yet beautiful part of the city.  The neighborhood park, just walking distance, has a playground and is well maintained, while there are also numerous restaurants and bars along Eastlake Ave within easy walking distance.  Just blocks down the street is a gourmet cafe with exceptional coffee and pastries.  The University of Washington is a 15-20 minute walk, Seattle University is a 7 min drive and downtown is just minutes away via car/bus.","Our house has a two car driveway and there is easy parking on the street in front of the house.  Bus lines run just a block away that can take you to various parts of the city. For those more adventurous, the Burke-Gilman trail (great for biking and walking) is right across the bridge. Our street over looks the Montlake Cut, where UW rowing races finish their regattas (a la Boys in the Boat!) and you can watch boats come in and out throughout the day.",42436525,25/8/2015,within a few hours,89%,100%,f,Portage Bay,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,"East Shelby Street, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Entire home/apt,8,3.5,4.0,5.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||Fire Extinguisher|||Essentials,525.0,100.0,8,50.0,2,1125,yesterday,t,9,20,36,76,4,27/9/2015,28/12/2015,85.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict,f,f,1,1.2,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True
2516,8152764,Beautiful Water View Apartment,"Our home is cozy with lots of natural light. The view overlooking Portage Bay is unlike any other. You can enjoy meals or a glass of wine on our private porch and watch sailboats, kayakers and yachts drift by. Our quiet, centralized location is perfect for your Seattle bucket list.","The view of Portage Bay makes this space very unique. The back wall of the apartment is all windows overlooking the bay.  Our guests sleep on an expandable Ikea couch. We provide fresh sheets, blankets and two pillows. The couch is in the living room. We have to walk past the couch to get to the kitchen. We will give you as much privacy as possible!  The apartment is in a quieter area of the city in close proximity (driving, bus or bike ride) to most all of the city's favorites!","Our home is cozy with lots of natural light. The view overlooking Portage Bay is unlike any other. You can enjoy meals or a glass of wine on our private porch and watch sailboats, kayakers and yachts drift by. Our quiet, centralized location is perfect for your Seattle bucket list. The view of Portage Bay makes this space very unique. The back wall of the apartment is all windows overlooking the bay.  Our guests sleep on an expandable Ikea couch. We provide fresh sheets, blankets and two pillows. The couch is in the living room. We have to walk past the couch to get to the kitchen. We will give you as much privacy as possible!  The apartment is in a quieter area of the city in close proximity (driving, bus or bike ride) to most all of the city's favorites! Guests will have access to all areas of the apartment. We are happy to share our spices, cooking oil, etc. Guests are welcome to any kitchen utilities or supplies. We ask that guests bring their own food, if you wish to cook. We are ","Our neighborhood is quieter, nudged between the young, hip and trendy Capitol Hill and the University District of the University of Washington. Public transportation is by bus and very easily accessible. It's about a 25 minute ride to the heart of downtown by bus, about 10 minutes by car (without traffic). There is a nearby bike rental spot.","There are several bus stops within a 5-minute walk that can essentially take you anywhere. There is ample, free parking surrounding our apartment with no time limits. This is VERY rare anywhere in Seattle proper!",9951683,11/11/2013,within an hour,100%,100%,t,Portage Bay,2.0,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,"Fuhrman Avenue East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Heating|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||Fire Extinguisher|||Essentials|||Shampoo,99.0,100.0,2,10.0,1,1125,yesterday,t,5,12,23,135,1,26/10/2015,26/10/2015,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,0.42,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True
2517,6837751,1908 Craftsman home - cozy room,"This listing is for a cozy room nestled in the Roanoke park neighborhood. Our home is close to popular areas of Seattle; downtown is 5 minutes away by car, and 10 minutes away by bus.","Our space is close to all the activities that Seattle has to offer. It has restaurants and convenience stores nearby, and it sits one block away from beautiful Roanoke park. We're very close to the University of Washington, are we're also close to Capitol Hill and Downtown Seattle. It's a Craftsman house with crown molding, hardwood floors, and leaded glass windows.","This listing is for a cozy room nestled in the Roanoke park neighborhood. Our home is close to popular areas of Seattle; downtown is 5 minutes away by car, and 10 minutes away by bus. Our space is close to all the activities that Seattle has to offer. It has restaurants and convenience stores nearby, and it sits one block away from beautiful Roanoke park. We're very close to the University of Washington, are we're also close to Capitol Hill and Downtown Seattle. It's a Craftsman house with crown molding, hardwood floors, and leaded glass windows. bathroom: Rustic, walk-in shower, as well as original classic claw foot tub; shared. Shampoo & conditioner, hair dryer, and fresh towels provided at your convenience. room: Sun porch is an extension off of your room; enjoy a cup of coffee or tea, or grab something from the mini fridge in this cozy nook. WiFi, and a TV with Chrome Cast included. other perusals: The patio is available for your use, and includes a propane grill. Inside, you'll fi","Roanoke park, established in 1908, is a beautiful park just a block south of our house. If you're in the mood for a delicious sandwich, or pastry & latte, there is Le Fournil, a bakery just a few blocks away. There are multiple places to eat, as well as a couple convenience stores in the area within a five to ten minute walk.","One can take multiple buses from our area to various parts of the city and the suburbs.  The 49 Metro bus stops a block away from our home and goes to Downtown Seattle. Uber, Lyft and standard taxi service are minutes away. In addition ZipCar and Car2Go are available.",34219060,25/5/2015,within an hour,100%,100%,t,Portage Bay,2.0,2.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",t,"Harvard Avenue East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Private room,1,1.5,1.0,1.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo,90.0,100.0,1,0.0,2,1125,5 weeks ago,t,30,60,90,365,25,20/6/2015,20/10/2015,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,f,f,2,3.77,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,True,True
2518,2459519,Fabulous Views of Lakes & Mountains,"Centrally located, minutes to downtown. Views are panoramic of the Cascade Mountains,  Portage Bay and University of Washington. We overlook the Seattle Yacht Club and Seattle's famous floating homes. Walk to restaurants. Superb & quiet neighborhood!","Welcome! Our house is ideally located for visiting Seattle. Minutes to downtown sites and nightlife, but in a quiet highly desirable neighbourhood. Our fully remodeled 1903 house is bright and light with an open floor plan in the main floor. The gourmet kitchen is well-equipped for entertaining and large groups. The kitchen opens to the living space which also has a built-in reading nook for afternoon lounging. The kitchen also opens to an East-facing deck with tables and seating for eight. The gas BBQ is just down the stairs. Just off the entry is our den with fireplace, piano and guest guitars for your use.  The second floor has three bedrooms, each with ample space.  The master bed is a Cal King, one bedroom is a double bed and the other has a queen bed. Two bedrooms share a bathroom with shower. The master has its own ensuite soaking tub and shower, and access to a lovely deck with panoramic views from University of Washington to the Cascade Mountains.  The third floor is open plan","Centrally located, minutes to downtown. Views are panoramic of the Cascade Mountains,  Portage Bay and University of Washington. We overlook the Seattle Yacht Club and Seattle's famous floating homes. Walk to restaurants. Superb & quiet neighborhood! Welcome! Our house is ideally located for visiting Seattle. Minutes to downtown sites and nightlife, but in a quiet highly desirable neighbourhood. Our fully remodeled 1903 house is bright and light with an open floor plan in the main floor. The gourmet kitchen is well-equipped for entertaining and large groups. The kitchen opens to the living space which also has a built-in reading nook for afternoon lounging. The kitchen also opens to an East-facing deck with tables and seating for eight. The gas BBQ is just down the stairs. Just off the entry is our den with fireplace, piano and guest guitars for your use.  The second floor has three bedrooms, each with ample space.  The master bed is a Cal King, one bedroom is a double bed and the othe","Roanoke/Portage Bay is one of Seattle's oldest neighbourhoods. We have easy access via bus or freeway to anywhere in Seattle and Bellevue. We are directly opposite the University of Washington. Walking to the Arboretum, Interlaken Park and the trails around the lakes is minutes away and always enjoyable. Walk to coffee shops, restaurants and local bars & pubs. Ski Snoqualmie or Stevens Pass within an hour of stepping from the door.","Bus stops one block from the house and is  a 25 minute trip to downtown, 10 minutes to UW. Via car, the city centre is minutes away.",12575330,25/2/2014,within a few hours,100%,100%,t,Portage Bay,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,"10th Avenue East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Entire home/apt,10,4.0,6.0,7.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Pets Allowed|||Pets live on this property|||Dog(s)|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Safety Card|||Fire Extinguisher|||Essentials|||Shampoo,750.0,300.0,8,75.0,3,1125,3 weeks ago,t,25,46,76,345,13,13/4/2015,29/11/2015,94.0,9.0,10.0,10.0,9.0,9.0,9.0,f,strict,f,f,1,1.46,False,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,True
2519,4940379,"Portage Bay Escape, Seattle","        Midcentury style home overlooking Portage Bay with dock access (no boat mooring at this time). Walking distance to UW, Husky stadium, U-Hospital. East facing with gorgeous views of Cascade mountain range. Private garden and large deck.      ","The house fits 6 guests very comfortably in 3 bedrooms. The furniture is a combination of vintage midcentury and current labels such as Crate and Barrel. We have styled the home to be a vacation dream of comfort, the  couch in the living room is the best for napping and lounging the beds are all pillow top, the linnens are all Nordstrom 400ct. Our house is at the center of the very best that Seattle has to offer - views, water, and fast access to downtown and surrounding neighborhoods (South Lake Union, Capitol Hill, Ballard, Queen Anne, U district).  A large open floor plan with an incredible view deck.  A fun walking, biking or jogging neighborhood. We LOVE having guests but respect your privacy 100%.  Our goal is to have you back, let us know what we can do make it happen!  We are very close to both downtown and the University as well as the gorgeous Arboretum!  Portage Bay is an active community of house boats and land dwellers. People are jogging,  sailing, paddling by on water bo","        Midcentury style home overlooking Portage Bay with dock access (no boat mooring at this time). Walking distance to UW, Husky stadium, U-Hospital. East facing with gorgeous views of Cascade mountain range. Private garden and large deck.       The house fits 6 guests very comfortably in 3 bedrooms. The furniture is a combination of vintage midcentury and current labels such as Crate and Barrel. We have styled the home to be a vacation dream of comfort, the  couch in the living room is the best for napping and lounging the beds are all pillow top, the linnens are all Nordstrom 400ct. Our house is at the center of the very best that Seattle has to offer - views, water, and fast access to downtown and surrounding neighborhoods (South Lake Union, Capitol Hill, Ballard, Queen Anne, U district).  A large open floor plan with an incredible view deck.  A fun walking, biking or jogging neighborhood. We LOVE having guests but respect your privacy 100%.  Our goal is to have you back, let us","We are very close to both downtown and the University as well as the gorgeous Arboretum!  Portage Bay is an active community of house boats and land dwellers. People are jogging,  sailing, paddling by on water boards and kayaks all day long! Walking their dogs and of course having lattes at the super cute Canal Street Market Cafe.","Metro bus #25 stops on our block, it travels Downtown via UW to Laurelhurst. A cab ride to down town will take about 8 min.",25460065,1/1/2015,within a few hours,90%,100%,f,Portage Bay,1.0,1.0,"['email', 'phone', 'reviews']",f,"Boyer Avenue East, Suite A, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Pets Allowed|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Safety Card|||Fire Extinguisher|||Essentials|||Shampoo|||24-Hour Check-in|||Hangers|||Hair Dryer|||Iron|||Laptop Friendly Workspace,250.0,100.0,6,20.0,2,1125,today,t,8,8,32,274,9,11/6/2015,2/1/2016,93.0,10.0,10.0,10.0,9.0,10.0,10.0,f,flexible,f,f,1,1.3,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,True
2520,2413338,Experience a Seattle floating home!,"Private first floor room and bathroom with separate entrance in a lovely renovated floating home on Portage Bay, Seattle. 10 minute walk to the UW campus and close to many bus routes. Experience life on the water for a while - it is special.","Lots of people are curious about Seattle ""houseboats"" - I was one of them. Now that I live in one, it  makes me very happy to be able to share the space with others who would like to experience this unique lifestyle for a few days. The house is super comfortable and supremely well-located in an historically significant neighborhood.","Private first floor room and bathroom with separate entrance in a lovely renovated floating home on Portage Bay, Seattle. 10 minute walk to the UW campus and close to many bus routes. Experience life on the water for a while - it is special. Lots of people are curious about Seattle ""houseboats"" - I was one of them. Now that I live in one, it  makes me very happy to be able to share the space with others who would like to experience this unique lifestyle for a few days. The house is super comfortable and supremely well-located in an historically significant neighborhood. You will need to be able to navigate a set of stairs and a short (somewhat fragile) dock.  The dock is fixed but the house floats and the water level changes, so you may also have to negotiate differences in the levels of the walkways.  Once you enter the neighborhood, it will be a different world - close to nature and right on the water. You will have access to everything on the ground floor, inside and out (approx. 80","You will be minutes away from a French bakery and one of the best sushi restaurants in Seattle, yet tucked away in a quiet, rural neighborhood. A 20 min. walk/5 min. drive to Trader Joe's, 10-15 minute drive to Whole Foods, 1 minute to the Burke-Gilman bike trail, and just across the bridge from the UW.  Excellent driving access to I-5 and SR-520 (to the Eastside).","This is city living at its best - the walk score is 78 (very walkable); transit score is 73; and bike score is 85. The UW is a public transit hub because it employs so many people.  The location is extremely accessible to other neighborhoods and parts of the city via car or Seattle metro transit. Plentiful free street parking five minutes away.  There is no parking on the street or driveway, except for temporary load/unload.  Please do not park in just any spot - the parking is very tight on the street itself and I must stay on good terms with neighbors.",12334975,17/2/2014,within a few hours,90%,100%,f,Portage Bay,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,"Portage Bay Place East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,Other,Private room,2,1.0,1.0,1.0,Futon,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Heating|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo|||Lock on Bedroom Door|||Hangers|||Hair Dryer|||Iron|||Laptop Friendly Workspace,125.0,50.0,1,25.0,2,1125,a week ago,t,27,27,55,250,18,2/4/2014,10/9/2015,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,0.84,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True
2521,2332949,Centrally located Roanoke Park home,"Recently remodeled 4br/2.75ba family-friendly house with modern amenities including gourmet kitchen, full size stone tile shower, and space for the whole family.  Located centrally with easy access to the airport, freeways, the city and more.","Our house is a 1920s house but with all the modern amenities.  Over the last ten years we've redone literally every piece of it to make sure it's a great home for us and a great space for you.   We'll start with the basics - the house is on an alleyway and you have parking for 2-3 cars in the back and oodles of parking on the street. There's never a shortage of parking by our house.  The back of the house also has a 200+ square foot deck where you can sit out and enjoy the sunny days in Seattle. When you enter the house (with a keypad lock, so no worries about futzing with keys) you'll have an entry way complete with seating bench, cubbies, and a closet for all your outdoor clothes.  It's time to get comfy! Walk through our gourmet kitchen and you'll immediately get a sense for who we are.  We host dinner parties of 12-16 often and this kitchen was designed for that.  A commercial range and hood, pot filler, hot water dispenser, high-end appliances and lots of counter and storage space","Recently remodeled 4br/2.75ba family-friendly house with modern amenities including gourmet kitchen, full size stone tile shower, and space for the whole family.  Located centrally with easy access to the airport, freeways, the city and more. Our house is a 1920s house but with all the modern amenities.  Over the last ten years we've redone literally every piece of it to make sure it's a great home for us and a great space for you.   We'll start with the basics - the house is on an alleyway and you have parking for 2-3 cars in the back and oodles of parking on the street. There's never a shortage of parking by our house.  The back of the house also has a 200+ square foot deck where you can sit out and enjoy the sunny days in Seattle. When you enter the house (with a keypad lock, so no worries about futzing with keys) you'll have an entry way complete with seating bench, cubbies, and a closet for all your outdoor clothes.  It's time to get comfy! Walk through our gourmet kitchen and you","Roanoke Park is very much a family neighborhood.  It is centrally located between Capitol Hill, the water, the University District, and Eastlake (heading to downtown).  It's quite a little gem because it has a big park nearby where you can take a stroll or play around with the kids.  It's also very good because there is so much easy access to key roads and freeways.  All this while being one of the nicer, quieter locations in the city.  It's a spectacular balance!",Within four blocks there are 3-4 key bus lines that take you to downtown or to key points where you can connect to much of the city.  Realistically that's what all Seattle transportation is about - it's a big hub and spoke system emanating from downtown.  So each neighborhood has 3-4 key lines that go either to downtown or to a connection.  (Seattle isn't the best at public transport... :-)),640731,29/5/2011,within an hour,100%,100%,f,Portage Bay,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,"Harvard Avenue East, Seattle, WA, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Entire home/apt,10,3.0,4.0,4.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||Essentials|||Shampoo,380.0,100.0,8,20.0,1,1125,5 days ago,t,30,60,90,347,38,19/5/2014,22/11/2015,95.0,9.0,9.0,9.0,10.0,9.0,9.0,f,strict,f,f,1,1.91,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True
2522,6543683,1908 Craftsman home - spacious room,"This listing is for a large room connected to a sun porch overlooking the Roanoke park neighborhood. Our home is close to popular areas of Seattle; downtown is 5 minutes away by car, and 10 minutes away by bus.","Our space is close to all the activities that Seattle has to offer. It has restaurants and convenience stores nearby, and it sits one block away from beautiful Roanoke park. We're very close to the University of Washington, are we're also close to Capitol Hill and Downtown Seattle. It's a Craftsman house with crown molding, hardwood floors, and leaded glass windows.","This listing is for a large room connected to a sun porch overlooking the Roanoke park neighborhood. Our home is close to popular areas of Seattle; downtown is 5 minutes away by car, and 10 minutes away by bus. Our space is close to all the activities that Seattle has to offer. It has restaurants and convenience stores nearby, and it sits one block away from beautiful Roanoke park. We're very close to the University of Washington, are we're also close to Capitol Hill and Downtown Seattle. It's a Craftsman house with crown molding, hardwood floors, and leaded glass windows. bathroom: Rustic, walk-in shower, as well as original classic claw foot tub; shared. Shampoo & conditioner, hair dryer, and fresh towels provided at your convenience.  room: Sun porch is an extension off of your room; enjoy a cup of coffee or tea, or grab something from the mini fridge in this cozy nook. WiFi, and a TV with Chrome Cast included.   other perusals: The patio is available for your use, and includes a pr","Roanoke park, established in 1908, is a beautiful park just a block south of our house. If you're in the mood for a delicious sandwich, or pastry & latte, there is Le Fournil, a bakery just a few blocks away. There are multiple places to eat, as well as a couple convenience stores in the area within a five to ten minute walk.","One can take multiple buses from our area to various parts of the city and the suburbs. The 49 Metro bus stops a block away from our home and goes to Downtown Seattle. Uber, Lyft and standard taxi service are minutes away. In addition ZipCar and Car2Go  are available.",34219060,25/5/2015,within an hour,100%,100%,t,Portage Bay,2.0,2.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",t,"Harvard Avenue East, Seattle, WA 98102, United States",Portage Bay,Portage Bay,Capitol Hill,98102,t,House,Private room,2,1.5,1.0,1.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Heating|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo,130.0,100.0,1,10.0,2,1125,5 weeks ago,t,30,60,90,365,15,22/6/2015,28/9/2015,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,f,f,2,2.28,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,True,True
2523,4340410,Modern 1 bedroom condo in EastLake,"Open and airy layout with 9' ceilings, a wall of windows, hardwoods, gourmet kitchen w/ appliances, granite counter-tops, sleek dark cabinets.  A community garden/courtyard is perfect for barbecuing, socializing & enjoying the Lake Union view.","Who Airbnb's our place?: This condo is perfect for a small family, couples or an individual traveler interested in booking for short-term trips. Most of our guests have been couples and even one family of three which included a small baby.  What's the building like?: The building is 4 stories tall and sits about 400 feet from Lake Union on the northeast side.  What about the unit?: The unit and surrounding neighbors are quiet, kind and respectful. Inside the unit is 702 square feet, primarily hardwood and carpeted in the bedroom. There is a fully stocked kitchen, bathroom and very comfortable bed with memory foam mattress. One of the best features are the wall to wall windows in the living room that let in a ton of light when it's not a cloudy Seattle day.","Open and airy layout with 9' ceilings, a wall of windows, hardwoods, gourmet kitchen w/ appliances, granite counter-tops, sleek dark cabinets.  A community garden/courtyard is perfect for barbecuing, socializing & enjoying the Lake Union view. Who Airbnb's our place?: This condo is perfect for a small family, couples or an individual traveler interested in booking for short-term trips. Most of our guests have been couples and even one family of three which included a small baby.  What's the building like?: The building is 4 stories tall and sits about 400 feet from Lake Union on the northeast side.  What about the unit?: The unit and surrounding neighbors are quiet, kind and respectful. Inside the unit is 702 square feet, primarily hardwood and carpeted in the bedroom. There is a fully stocked kitchen, bathroom and very comfortable bed with memory foam mattress. One of the best features are the wall to wall windows in the living room that let in a ton of light when it's not a cloudy Se","Eastlake is divided by the I5 freeway. We live in a very safe and modern neighborhood where people frequently walk their dogs, take the bus, run and enjoy the neighboring restaurants (sushi, french bakery, grill). If you are more sensitive to noise, you can hear the freeway a little bit. It is much more of a white noise sound that is little to not audible from the bedroom and fine in the living area if the window is closed. We personally don't mind it even with the window open but most of our guests that are older or not used to city living have noted it as a concern.","Our condo is 3 miles north of downtown and the Space Needle. Modes of transportation include walking, driving, Lyft or Uber, the bus is right across the street from the building and there is a bike rental across the street too.",5275075,1/3/2013,within a day,75%,100%,f,Eastlake,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,"Eastlake Avenue East, Seattle, WA 98102, United States",Eastlake,Portage Bay,Capitol Hill,98102,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Pets Allowed|||Pets live on this property|||Dog(s)|||Elevator in Building|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Essentials|||Shampoo,135.0,100.0,1,0.0,2,1125,today,t,0,3,31,302,5,26/10/2014,30/12/2015,76.0,8.0,7.0,9.0,10.0,8.0,8.0,f,moderate,f,f,1,0.34,False,True,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True
