Index,id,name,summary,space,description,neighborhood_overview,transit,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,_61,_62,Breakfast,Essentials,_65,_66,Gym,_68,Internet,Kitchen,_71,_72,Pool,_74,_75,_76,_77,TV,_79
280,314180,Sunny Home w/ Views in Wallingford,My historic and recently remodeled house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood.   The house has a unique style and is south facing with an open floor plan that allows for a lot of light- a bonus in Seattle.,"Enjoy commanding views of downtown, Mt. Rainer (on sunny days), the Cascades, and the gorgeous Aurora Bridge.  Enjoy the outdoors on the rocking chairs while sitting on the covered front porch, grill out on the back deck, or drink in the views from the bedroom balconies. Great option for folks visiting the UW, downtown Seattle, Amazon, Microsoft, or exploring Seattle's many neighborhoods. I am offering a special rate while I try out the Airbnb experience.  I've used the service on the road but am new to renting out my home.  Come be my first guests!   Music lover?  Plug your iPod into the stereo and rock out to the built in speakers in the kitchen and living room.  Also for your entertainment pleasure you'll find a flat screen TV with basic cable and the Netflix. Take a long relaxing bath in the vintage cast-iron tub or a refreshing shower in the modern, newly remodeled... um, shower.   Spacious, fully equipped kitchen with all you'd ever need to cook a gourmet meal. This listing cover","My historic and recently remodeled house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood.   The house has a unique style and is south facing with an open floor plan that allows for a lot of light- a bonus in Seattle. Enjoy commanding views of downtown, Mt. Rainer (on sunny days), the Cascades, and the gorgeous Aurora Bridge.  Enjoy the outdoors on the rocking chairs while sitting on the covered front porch, grill out on the back deck, or drink in the views from the bedroom balconies. Great option for folks visiting the UW, downtown Seattle, Amazon, Microsoft, or exploring Seattle's many neighborhoods. I am offering a special rate while I try out the Airbnb experience.  I've used the service on the road but am new to renting out my home.  Come be my first guests!   Music lover?  Plug your iPod into the stereo and rock out to the built in speakers in the kitchen and living room.  Also for your entertainment pleasure you'll find a flat screen TV with basic c","About the 'hood:  Short walk to Wallingford and Fremont main drags with out-of-this-world dining and drinking options. Check out Lake Union, gasworks park, the burke-gillman trail, Woodland Park Zoo, Green Lake, University of Washington, the Fremont Troll, and more... all within walking distance. I have a full guide for all the hot spots in Seattle that I provide each guest.","Very centrally located and easy bus access to UW, downtown, Ballard, capitol hill, etc.  Great for bikes too!",1224813,29/9/2011,within a few hours,100%,100%,t,Wallingford,4.0,4.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,"Woodlawn Ave N, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,House,Entire home/apt,5,1.5,3.0,3.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Shampoo,300.0,95.0,5,25.0,5,14,a week ago,t,2,32,62,132,24,6/3/2012,1/12/2015,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict,f,f,3,0.51,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True
281,8670079,"Furnished, great spot, near UW","This furnished home is a sweet bungalow in a great walkable neighborhood, near restaurants, coffee shops, bus line, and the UW. Available nightly or weekly (discounted - please ask) through Oct 31. Includes: Linens, dishes, treehouse, sauna, games.","Great for families, or visiting guests needing temporary space in Seattle during October.","This furnished home is a sweet bungalow in a great walkable neighborhood, near restaurants, coffee shops, bus line, and the UW. Available nightly or weekly (discounted - please ask) through Oct 31. Includes: Linens, dishes, treehouse, sauna, games. Great for families, or visiting guests needing temporary space in Seattle during October. Full house We live just down the block! Close to bus line, parking also available off-street, and you can walk to just about anything you need. Walkable to Univ of Washington. 10 min by car to downtown. Just contact us with any questions - we are happy to help.","About the 'hood:  Short walk to Wallingford and Fremont main drags with out-of-this-world dining and drinking options. Check out Lake Union, gasworks park, the burke-gillman trail, Woodland Park Zoo, Green Lake, University of Washington, the Fremont Troll, and more... all within walking distance. I have a full guide for all the hot spots in Seattle that I provide each guest.","Close to bus line, parking also available off-street, and you can walk to just about anything you need. Walkable to Univ of Washington. 10 min by car to downtown.",45544717,1/10/2015,within a few hours,100%,100%,f,Wallingford,1.0,1.0,"['email', 'phone']",f,"Northeast 53rd Street, Seattle, WA 98105, United States",Wallingford,Wallingford,Other neighborhoods,98105,t,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Safety Card|||Fire Extinguisher|||Essentials,150.0,100.0,1,0.0,1,1125,3 months ago,t,0,0,0,69,0,6/3/2012,1/12/2015,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,0.51,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,True
282,4868135,Designer 2 Bdrm Fremont/Wallingford,"Luxurious, new,spacious 2 bdrm apartment in one of Seattle's most popular locations. Everything is beautifully designed to a high standard. Nestled on the border of the trendy Fremont/Wallingford neighborhoods--the perfect base for exploring the city","Luxurious and all new spacious 2 bedroom apartment in one of Seattle's most popular neighborhoods. This apartment was completely renovated by interior designer, Ellen Henry of Ellen Henry Designs. New kitchen, baths, furnishings—everything is beautifully designed to a high standard. Beds and linens are as good (or better) than those found in five star hotels. The furnishings and finishes are modern, luxurious and comfortable. To get an idea of the quality of our offerings, please see some of our other listings.  All of our apartments have modern décor and are very clean.  LOCATION: This apartment is nestled on the border of Seattle's trendy and popular Fremont/Wallingford neighborhoods. Known as the 'Center of the Universe', it's close to downtown while offering much to explore locally. Just a six minute walk to Seattle's Woodland Park Zoo. Close to the famous Fremont troll, Theo's Chocolate Factory, the Burke Gilman biking trail, the Greenlake walking trail, Gasworks Park, as well as ","Luxurious, new,spacious 2 bdrm apartment in one of Seattle's most popular locations. Everything is beautifully designed to a high standard. Nestled on the border of the trendy Fremont/Wallingford neighborhoods--the perfect base for exploring the city Luxurious and all new spacious 2 bedroom apartment in one of Seattle's most popular neighborhoods. This apartment was completely renovated by interior designer, Ellen Henry of Ellen Henry Designs. New kitchen, baths, furnishings—everything is beautifully designed to a high standard. Beds and linens are as good (or better) than those found in five star hotels. The furnishings and finishes are modern, luxurious and comfortable. To get an idea of the quality of our offerings, please see some of our other listings.  All of our apartments have modern décor and are very clean.  LOCATION: This apartment is nestled on the border of Seattle's trendy and popular Fremont/Wallingford neighborhoods. Known as the 'Center of the Universe', it's close to ","This apartment is nestled on the border of Seattle's trendy and popular Fremont/Wallingford neighborhoods. Known as the 'Center of the Universe', it's close to downtown while offering much to explore locally. Just a six minute walk to Seattle's Woodland Park Zoo. Close to the famous Fremont troll, Theo's Chocolate Factory, the Burke Gilman biking trail, the Greenlake walking trail, Gasworks Park, as well as dozens of wonderful restaurants and funky local shops.  Parking is provided, but there is no need for a car in this location.  Fremont is home to a renowned farmer's market as well as many festivals, including the Fremont Solstice Festival and Parade and Oktoberfest.","Parking is provided, but there is no need for a car in this very walkable neighborhood. Public transportation is a minutes' walk from the building.",1121532,7/9/2011,within an hour,100%,100%,f,Capitol Hill,8.0,8.0,"['email', 'phone', 'reviews', 'kba']",t,"Woodland Park Avenue North, Seattle, WA 98103, United States",Fremont,Wallingford,Other neighborhoods,98103,f,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Air Conditioning|||Pool|||Kitchen|||Free Parking on Premises|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||Fire Extinguisher|||Essentials|||Shampoo,149.0,105.0,1,0.0,2,1125,today,t,29,59,89,364,11,1/1/2015,29/9/2015,96.0,9.0,10.0,9.0,9.0,10.0,9.0,f,strict,f,f,7,0.89,False,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True
283,5336585,Beautiful Loft Apartment UW ,"I have a great loft apartment in the Wallingford / Fremont area for 1 Month Sub Lease starting Feb 13th! it has a queen size bed, sun light roof, two huge windows, refrigerator, bathroom w/ shower, utilities rolled in and free WiFi   ","Luxurious and all new spacious 2 bedroom apartment in one of Seattle's most popular neighborhoods. This apartment was completely renovated by interior designer, Ellen Henry of Ellen Henry Designs. New kitchen, baths, furnishings—everything is beautifully designed to a high standard. Beds and linens are as good (or better) than those found in five star hotels. The furnishings and finishes are modern, luxurious and comfortable. To get an idea of the quality of our offerings, please see some of our other listings.  All of our apartments have modern décor and are very clean.  LOCATION: This apartment is nestled on the border of Seattle's trendy and popular Fremont/Wallingford neighborhoods. Known as the 'Center of the Universe', it's close to downtown while offering much to explore locally. Just a six minute walk to Seattle's Woodland Park Zoo. Close to the famous Fremont troll, Theo's Chocolate Factory, the Burke Gilman biking trail, the Greenlake walking trail, Gasworks Park, as well as ","I have a great loft apartment in the Wallingford / Fremont area for 1 Month Sub Lease starting Feb 13th! it has a queen size bed, sun light roof, two huge windows, refrigerator, bathroom w/ shower, utilities rolled in and free WiFi   ","This apartment is nestled on the border of Seattle's trendy and popular Fremont/Wallingford neighborhoods. Known as the 'Center of the Universe', it's close to downtown while offering much to explore locally. Just a six minute walk to Seattle's Woodland Park Zoo. Close to the famous Fremont troll, Theo's Chocolate Factory, the Burke Gilman biking trail, the Greenlake walking trail, Gasworks Park, as well as dozens of wonderful restaurants and funky local shops.  Parking is provided, but there is no need for a car in this location.  Fremont is home to a renowned farmer's market as well as many festivals, including the Fremont Solstice Festival and Parade and Oktoberfest.","Parking is provided, but there is no need for a car in this very walkable neighborhood. Public transportation is a minutes' walk from the building.",27656377,12/2/2015,within an hour,100%,100%,f,Wallingford,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,"Meridian Avenue North, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,Loft,Entire home/apt,2,1.0,0.0,1.0,Real Bed,Internet|||Kitchen|||Smoking Allowed|||Pets Allowed|||Pets live on this property|||Dog(s)|||Cat(s)|||Other pet(s)|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||Essentials,75.0,105.0,1,0.0,1,1125,never,t,0,0,25,300,1,7/3/2015,7/3/2015,96.0,9.0,10.0,9.0,9.0,10.0,9.0,f,flexible,f,f,1,0.1,False,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False
284,1427103,Wallingford Private 1BD Apartment,"Our eco-friendly furnished apartment features an eat-in kitchen with heated tile, private bathroom, private bedroom with office nook!  We take hosting very seriously as we provide snacks and a super clean space.  We look forward to meeting you!","Our basement apartment is painted with low VOC paint and carpeted with eco-friendly carpeting and heated tile.  It easily sleeps 2, on our brand new full size mattress, with third person on a double air mattress. Kids under 13 stay for free!  We use only natural cleaning products and love to eat organic food!  Our family is very active.  This apartment is best suited for early risers and active people.  Depending on our family's schedule, you will potentially hear us above you from 7am-8:30pm  The kids are very active players.  This is NOT a silent retreat!  It's a festive family home full of kid sounds and music!","Our eco-friendly furnished apartment features an eat-in kitchen with heated tile, private bathroom, private bedroom with office nook!  We take hosting very seriously as we provide snacks and a super clean space.  We look forward to meeting you! Our basement apartment is painted with low VOC paint and carpeted with eco-friendly carpeting and heated tile.  It easily sleeps 2, on our brand new full size mattress, with third person on a double air mattress. Kids under 13 stay for free!  We use only natural cleaning products and love to eat organic food!  Our family is very active.  This apartment is best suited for early risers and active people.  Depending on our family's schedule, you will potentially hear us above you from 7am-8:30pm  The kids are very active players.  This is NOT a silent retreat!  It's a festive family home full of kid sounds and music! Guests will have access to their own private door and a shared back patio. We live on the main floor and the apartment is in the base","Our neighborhood is a Seattle favorite!  Extremely walkable, close to parks, and tasty restaurants.","We are right on the bus route for downtown and the University District! Nearby buses to Ballard, Fremont (although, that is quite walkable.)",7675473,23/7/2013,within an hour,100%,100%,f,Wallingford,3.0,3.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,"North 40th Street, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,Wireless Internet|||Kitchen|||Free Parking on Premises|||Heating|||Family/Kid Friendly|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo|||24-Hour Check-in|||Hangers|||Hair Dryer|||Iron|||Laptop Friendly Workspace,95.0,40.0,3,15.0,1,32,3 weeks ago,t,11,38,66,341,79,4/9/2013,6/12/2015,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict,f,f,2,2.78,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True
285,3518808,Modern Green Lake Apartment,"Completely self-contained modern apartment close to Greenlake, Tangletown and the downtown bus route.  ","With a private entrance and kitchen this one bedroom apartment comfortably accommodates 2 people.  This is a basement apartment and the ceilings can be a little low in places, six footers should consider that when booking.","Completely self-contained modern apartment close to Greenlake, Tangletown and the downtown bus route.   With a private entrance and kitchen this one bedroom apartment comfortably accommodates 2 people.  This is a basement apartment and the ceilings can be a little low in places, six footers should consider that when booking. Guests have access to a full size washer and dryer in the apartment as well as wireless internet access. Wallingford is a fantastic neighborhood for kids and adults alike with the proximity of Meridian Park and Greenlake as well as the restaurants and cafes of Tangletown. The #16 bus route to downtown is about 100 yards from the apartment. With 4 kids living upstairs you may hear a little foot traffic above you but generally we're out and about more than we're in the house. Also, if you're over 6ft you may find our ceilings a little low. ",Wallingford is a fantastic neighborhood for kids and adults alike with the proximity of Meridian Park and Greenlake as well as the restaurants and cafes of Tangletown.,The #16 bus route to downtown is about 100 yards from the apartment.,17717833,6/7/2014,within an hour,100%,100%,f,Wallingford,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,"North 51st Street, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Heating|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo,100.0,40.0,1,0.0,2,1125,6 weeks ago,t,29,57,69,343,52,2/9/2014,29/11/2015,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,3.18,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True
286,8995844,"Charm, convenience in Wallingford","Lovely house in Seattle's Wallingford neighborhood is perfect for your Thanksgiving holiday. Close to Green Lake, UW, and easy access to downtown. Our home is quiet yet walkable to grocery, restaurants, pubs, movie theaters, transit, much more!","You'll be very comfortable in our home. There's plenty of space for a family, anything you'd need to cook, and if you need any last-minute supplies, lots of shops are just blocks away. You're welcome to use our classic espresso machine -- we'll leave you home-roasted coffee for your visit!","Lovely house in Seattle's Wallingford neighborhood is perfect for your Thanksgiving holiday. Close to Green Lake, UW, and easy access to downtown. Our home is quiet yet walkable to grocery, restaurants, pubs, movie theaters, transit, much more! You'll be very comfortable in our home. There's plenty of space for a family, anything you'd need to cook, and if you need any last-minute supplies, lots of shops are just blocks away. You're welcome to use our classic espresso machine -- we'll leave you home-roasted coffee for your visit! We'll lock up the upstairs office but otherwise you'd have free run of the house. Not pictured here is an office that could be used as a bedroom if necessary (with an air mattress we'd provide). The living room sofa is also very comfortable for sleeping! We'll be available by email or phone except when we're on planes. We'll provide you with a detailed (SENSITIVE CONTENTS HIDDEN) Map of all our favorite local spots and suggestions. We did a house swap a couple","We've lived here for 13 years and love the house and Wallingford neighborhood. In addition to being just a few blocks from almost any amenity you might want, we're a stone's throw from a large park and playground, and have friendly, helpful neighbors. Wallingford is a quiet neighborhood that's home to a mix of newer families, students and longtime residents.","Within blocks you can get a bus downtown, to the University District or to the bustling Ballard neighborhood. We have ample parking on our street if you're driving.",964658,13/8/2011,within an hour,100%,100%,f,Wallingford,1.0,1.0,"['email', 'phone', 'reviews']",f,"North 48th Street, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,TV|||Cable TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Indoor Fireplace|||Heating|||Family/Kid Friendly|||Washer|||Dryer|||Smoke Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo,250.0,40.0,1,0.0,4,1125,6 weeks ago,t,0,0,0,46,1,29/11/2015,29/11/2015,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,0.81,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True
287,356566,Sunny Bedroom w/View: Wallingford,"Sunny bedroom with a downtown view in a 2,000 square foot house with decks, balconies, and porches. The house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood and features an airy floorplan and an eclectic decor.  Public transportation is excellent and you don't need a car to enjoy this part of town, but if you have one, parking is free.  I have a separate apartment so chances are good you'll have the house to yourself most of the time.","This listing rents out a sunny bedroom in my house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood.    Right now I'm doing a minimum stay of 5 days and looking for folks who are in town for work or a longer stay. The house is south facing with an open floor plan that allows for a lot of light- a huge bonus in Seattle.  Enjoy commanding views of downtown, Mt. Rainer (on sunny days), the Cascades, and the gorgeous Aurora Bridge.  Enjoy the outdoors on the rocking chairs while sitting on the covered front porch, grill out on the back deck, or drink in the views from the bedroom balcony. Great option for folks visiting the UW or exploring Seattle's many neighborhoods. I am offering a special rate while I try out the airbnb experience.  I've used the service on the road but am new to renting out my home.  Come be my first guests!   Take a long relaxing bath in the vintage cast-iron tub or a refreshing shower in the modern, newly remodeled... um, shower.   Spac","Sunny bedroom with a downtown view in a 2,000 square foot house with decks, balconies, and porches. The house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood and features an airy floorplan and an eclectic decor.  Public transportation is excellent and you don't need a car to enjoy this part of town, but if you have one, parking is free.  I have a separate apartment so chances are good you'll have the house to yourself most of the time. This listing rents out a sunny bedroom in my house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood.    Right now I'm doing a minimum stay of 5 days and looking for folks who are in town for work or a longer stay. The house is south facing with an open floor plan that allows for a lot of light- a huge bonus in Seattle.  Enjoy commanding views of downtown, Mt. Rainer (on sunny days), the Cascades, and the gorgeous Aurora Bridge.  Enjoy the outdoors on the rocking chairs while sitting on the cove","It's a quiet block but a short walk away are more amazing bars, restaurants, music venues, and parks than you can shake a stick at!","Public transit is abundant and easy from Wallingford, a central hub of the city. ",1224813,29/9/2011,within a few hours,100%,100%,t,Wallingford,4.0,4.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,"Woodlawn Ave N, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,t,House,Private room,2,2.0,1.0,1.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Pets live on this property|||Dog(s)|||Heating|||Washer|||Dryer|||Smoke Detector|||First Aid Kit|||Shampoo,105.0,50.0,1,35.0,5,60,5 days ago,t,18,42,72,347,13,25/3/2012,23/2/2014,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,3,0.28,False,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True
288,6466388,Airy Green Lake Craftsman,"Our house is perfect for anyone visiting Seattle without a car.  Enjoy a quick commute to downtown via bus or a 20 minute walk to the University of Washington.  Wake up in the morning to run, bike, or swim Green Lake and then come grill with us in the backyard!","The Latona House is comfortable, quiet, and convenient to everything!  We have 2 rooms that are available for air B and B guests: the lavender room downstairs has wood floors and one queen bed.  The teal room upstairs has carpet and one queen and one twin bed.","Our house is perfect for anyone visiting Seattle without a car.  Enjoy a quick commute to downtown via bus or a 20 minute walk to the University of Washington.  Wake up in the morning to run, bike, or swim Green Lake and then come grill with us in the backyard! The Latona House is comfortable, quiet, and convenient to everything!  We have 2 rooms that are available for air B and B guests: the lavender room downstairs has wood floors and one queen bed.  The teal room upstairs has carpet and one queen and one twin bed. A sit-on-top kayak and two bikes Someone is always around for a chat, to give directions, or to share a meal! We are in the middle of a great area: the UW, the shops and cafes of Wallingford, and swimming or walking around Green Lake.   For those in search of nightlife, downtown and Capitol Hill are a 15 minute drive away. 26 and 16 buses to Northgate, Fremont and downtown Seattle are only a few blocks away!","We are in the middle of a great area: the UW, the shops and cafes of Wallingford, and swimming or walking around Green Lake.   For those in search of nightlife, downtown and Capitol Hill are a 15 minute drive away.","26 and 16 buses to Northgate, Fremont and downtown Seattle are only a few blocks away!",20567228,26/8/2014,within a day,100%,100%,f,Wallingford,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,"Latona Ave NE, Seattle, WA 98105, United States",Wallingford,Wallingford,Other neighborhoods,98105,f,House,Private room,2,1.0,1.0,1.0,Real Bed,TV|||Internet|||Wireless Internet|||Kitchen|||Free Parking on Premises|||Pets live on this property|||Indoor Fireplace|||Heating|||Washer|||Dryer|||Smoke Detector|||Carbon Monoxide Detector|||First Aid Kit|||Fire Extinguisher|||Essentials|||Shampoo,74.0,15.0,1,10.0,1,1125,2 weeks ago,t,0,0,2,277,20,9/6/2015,6/10/2015,87.0,8.0,9.0,9.0,9.0,10.0,8.0,f,moderate,f,f,2,2.86,False,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True
289,4531944,Cozy Green Lake Cottage,"Beautifully renovated charming Tangletown cottage located just steps from Green Lake, hip local restaurants and coffee shops. Conveniently situated between vibrant Wallingford and downtown Green Lake. Only 10 minutes to the U District and downtown. ","Fabulous studio space tastefully appointed with gorgeous bedroom suite, apacious bathroom, cozy dining area and sleek modern kitchenette. This private guest cottage is located behind a 1909 Craftsman home and has a private entrance off an alley. Street parking available. ","Beautifully renovated charming Tangletown cottage located just steps from Green Lake, hip local restaurants and coffee shops. Conveniently situated between vibrant Wallingford and downtown Green Lake. Only 10 minutes to the U District and downtown.  Fabulous studio space tastefully appointed with gorgeous bedroom suite, apacious bathroom, cozy dining area and sleek modern kitchenette. This private guest cottage is located behind a 1909 Craftsman home and has a private entrance off an alley. Street parking available.  The Green Lake Cottage has HDTV, wifi, a kitchenette complete with dishware, glassware silverware, coffee maker, grinder, blender, toaster, tea kettle, pots and pans and more.  We aim to ensure you have a fantastic stay at the Green Lake Cottage. We will check you and and provide you with all the information necessary to thoroughly enjoy your visit to Seattle.  We love the walkability of the neighborhood. Whether walking or running around the 3 mile loop at Green Lake, rel","We love the walkability of the neighborhood. Whether walking or running around the 3 mile loop at Green Lake, relaxing at Zooka's Coffee House with a book and a latte or heading eight blocks into vibrant Wallingford, your cottage stay promises to be full of adventure, restful moments to savor and daily immersion into ""foodie heaven"". ","Bus lines are located just a block from the cottage for easy access to downtown, the University of Washington and numerous other wonderful Seattle attractions and  neighborhoods. ",7796684,29/7/2013,within an hour,100%,100%,t,Long Beach,3.0,3.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,"N 53rd St, Seattle, WA 98103, United States",Wallingford,Wallingford,Other neighborhoods,98103,f,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,Cable TV|||Wireless Internet|||Air Conditioning|||Kitchen|||Heating|||Smoke Detector|||Carbon Monoxide Detector|||Essentials|||Shampoo|||24-Hour Check-in|||Hangers|||Hair Dryer|||Iron|||Laptop Friendly Workspace,140.0,65.0,1,0.0,1,1125,today,t,20,50,80,342,30,8/12/2014,2/1/2016,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,2.29,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True
